Time: 133ms |  Marker 1: moved from 0 to 1 | use transition 0
Time: 347ms |  Marker 2: moved from 0 to 1 | use transition 0
Time: 351ms |  Marker 5: moved from 1 to 2 | use transition 1
Time: 563ms |  Marker 9: moved from 2 to 0 | use transition 2
Time: 779ms |  Marker 5: moved from 2 to 0 | use transition 2
Time: 781ms |  Marker 0: moved from 0 to 1 | use transition 0
Time: 784ms |  Marker 6: moved from 1 to 2 | use transition 1
Time: 999ms |  Marker 2: moved from 1 to 2 | use transition 1
Time: 1001ms |  Marker 10: moved from 2 to 0 | use transition 2
Time: 1003ms |  Marker 3: moved from 0 to 1 | use transition 0
Time: 1219ms |  Marker 11: moved from 2 to 0 | use transition 2
Time: 1222ms |  Marker 4: moved from 1 to 2 | use transition 1
Time: 1225ms |  Marker 9: moved from 0 to 1 | use transition 0
Time: 1444ms |  Marker 7: moved from 1 to 2 | use transition 1
Time: 1447ms |  Marker 8: moved from 2 to 0 | use transition 2
Time: 1449ms |  Marker 10: moved from 0 to 1 | use transition 0
Time: 1664ms |  Marker 1: moved from 1 to 2 | use transition 1
Time: 1667ms |  Marker 6: moved from 2 to 0 | use transition 2
Time: 1668ms |  Marker 5: moved from 0 to 1 | use transition 0
Time: 1886ms |  Marker 2: moved from 2 to 0 | use transition 2
Time: 1889ms |  Marker 0: moved from 1 to 2 | use transition 1
Time: 1891ms |  Marker 11: moved from 0 to 1 | use transition 0
Time: 2105ms |  Marker 3: moved from 1 to 2 | use transition 1
Time: 2110ms |  Marker 8: moved from 0 to 1 | use transition 0
Time: 2114ms |  Marker 4: moved from 2 to 0 | use transition 2
Time: 2333ms |  Marker 1: moved from 2 to 0 | use transition 2
Time: 2335ms |  Marker 5: moved from 1 to 2 | use transition 1
Time: 2337ms |  Marker 6: moved from 0 to 1 | use transition 0
Time: 2550ms |  Marker 9: moved from 1 to 2 | use transition 1
Time: 2554ms |  Marker 7: moved from 2 to 0 | use transition 2
Time: 2764ms |  Marker 10: moved from 1 to 2 | use transition 1
Time: 2766ms |  Marker 2: moved from 0 to 1 | use transition 0
Time: 2986ms |  Marker 0: moved from 2 to 0 | use transition 2
Time: 2988ms |  Marker 8: moved from 1 to 2 | use transition 1
Time: 2991ms |  Marker 4: moved from 0 to 1 | use transition 0
Time: 3204ms |  Marker 5: moved from 2 to 0 | use transition 2
Time: 3206ms |  Marker 11: moved from 1 to 2 | use transition 1
Time: 3207ms |  Marker 1: moved from 0 to 1 | use transition 0
Time: 3427ms |  Marker 10: moved from 2 to 0 | use transition 2
Time: 3430ms |  Marker 2: moved from 1 to 2 | use transition 1
Time: 3433ms |  Marker 7: moved from 0 to 1 | use transition 0
Time: 3651ms |  Marker 6: moved from 1 to 2 | use transition 1
Time: 3653ms |  Marker 3: moved from 2 to 0 | use transition 2
Time: 3655ms |  Marker 5: moved from 0 to 1 | use transition 0
Time: 3869ms |  Marker 4: moved from 1 to 2 | use transition 1
Time: 3871ms |  Marker 9: moved from 2 to 0 | use transition 2
Time: 3875ms |  Marker 0: moved from 0 to 1 | use transition 0
Time: 4091ms |  Marker 1: moved from 1 to 2 | use transition 1
Time: 4093ms |  Marker 8: moved from 2 to 0 | use transition 2
Time: 4095ms |  Marker 3: moved from 0 to 1 | use transition 0
Time: 4310ms |  Marker 11: moved from 2 to 0 | use transition 2
Time: 4313ms |  Marker 7: moved from 1 to 2 | use transition 1
